abs_err,sq,smape,dir_ok,in80,in50,origin,actual,pred
0.013153794689050853,0.00017302231472170242,0.013240878588277277,1,1,1,2024-03-29,198600.0,195987.6563747545
0.01907991557924178,0.00036404317851099313,0.019263690372265517,1,1,1,2024-04-12,207500.0,203540.91751730733
0.19378445778400427,0.03755241607864054,0.21457511936394424,1,1,0,2024-04-26,234000.0,188654.436878543
0.1966185939903704,0.038658871502750124,0.21805547438290546,1,1,0,2024-05-10,236000.0,189598.0118182726
0.0036008174581624633,1.2965886367007583e-05,0.0035943461659499474,1,1,1,2024-05-24,209500.0,210254.37125748504
0.27333202548493585,0.07471039615569762,0.2404681959527052,0,0,0,2024-06-07,173200.0,220541.1068139909
0.2534130631370988,0.06421818056852724,0.22491487892975,0,0,0,2024-06-21,199700.0,250306.58870847864
0.4466953606185226,0.19953674519811196,0.36514178905018924,0,0,0,2024-07-05,173700.0,251290.98413943738
0.37621697594787856,0.14153921299136663,0.31665203957042243,0,0,0,2024-07-19,162800.0,224048.12368431463
0.024176589460594,0.0005845074779461048,0.023887826374907946,1,1,1,2024-08-02,183800.0,188243.65714285718
0.15317277999160409,0.02346190053035635,0.14227634810821022,0,1,0,2024-08-16,186000.0,214490.13707843836
0.0874131833333664,0.007641064620472725,0.09140832988247313,1,1,1,2024-08-30,201000.0,183429.95014999335
0.1152596185588437,0.013284779670330147,0.12230821782542917,1,1,1,2024-09-13,200500.0,177390.44647895184
0.08336545364094017,0.006949798860759744,0.08002960161910017,0,1,1,2024-09-27,176700.0,191430.67565835413
0.20499442781327157,0.042022715434490605,0.185936458820504,0,1,0,2024-10-11,167100.0,201354.56888759768
0.2950633773386894,0.08706239664651381,0.2571287401055034,0,0,0,2024-10-25,168500.0,218218.17908156916
0.2000102838825662,0.04000411365878472,0.18182668085495413,0,1,0,2024-11-08,181900.0,218281.8706382388
0.13305646318746764,0.01770402239595793,0.1425393543659466,1,1,1,2024-11-22,214500.0,185959.3886462882
0.09570315209025448,0.009159093320010381,0.10051285039441535,1,1,1,2024-12-06,199200.0,180135.9321036213
0.14597709200276365,0.021309311389583325,0.1574706454522203,1,1,0,2024-12-20,210000.0,179344.81067941964
0.0055872227505568495,3.121705806434005e-05,0.0055716577042151955,1,1,1,2025-01-03,190200.0,191262.6897671559
0.16067604740314734,0.02581679220909845,0.1487275684814104,0,1,1,2025-01-17,204500.0,237358.25169394363
0.08924217650756247,0.007964166067806935,0.08543018852581491,1,1,1,2025-01-31,199300.0,217085.9657779572
0.2223692854658578,0.049448099118596156,0.20011911334460716,0,1,0,2025-02-14,180800.0,221004.3668122271
0.12959787506885553,0.016795609222362687,0.12171112357506958,0,1,1,2025-02-28,184400.0,208297.84816269696
0.13759254750550462,0.018931709129054546,0.12873599102510933,0,1,0,2025-03-14,190100.0,216256.34328079643
0.05990892970463319,0.0035890798583546814,0.058166580901441535,1,1,1,2025-03-28,200000.0,211981.78594092664
0.1512688264654286,0.022882257860227954,0.16364610347995506,1,1,0,2025-04-11,224500.0,190540.14845851128
0.23681136094642577,0.05607962067329835,0.26861715837000727,1,1,0,2025-04-25,257000.0,196139.48023676858
0.25353304906655144,0.06427900696898238,0.2903382155969726,1,1,0,2025-05-09,270500.0,201919.31022749783
0.18376648824997519,0.03377012220372827,0.20235997966242533,1,1,0,2025-05-23,269000.0,219566.81466075667
0.09626377033785459,0.009266713479659213,0.10113141604174695,1,1,1,2025-06-06,258000.0,233163.94725283352
0.017043928419238345,0.0002904954959601205,0.016899908008047908,1,1,1,2025-06-20,276500.0,281212.6462079194
0.1354326509630098,0.018342002946868437,0.1268432894869657,0,1,1,2025-07-04,269000.0,305431.38310904964
0.11238237878318934,0.012629799060968245,0.11907324610663948,1,1,1,2025-07-18,328500.0,291582.3885697223
0.18829087738342043,0.035453454505818265,0.20785994289356935,1,1,0,2025-08-01,336500.0,273140.119760479
0.29688414561852583,0.08814019591964205,0.34863646516442787,1,1,0,2025-08-15,428000.0,300933.58567527094
0.4121038381133708,0.16982957338777133,0.5190564068417891,1,1,0,2025-08-29,510000.0,299827.0425621809
0.37616759268067446,0.14150205778317382,0.4633083943701603,1,1,0,2025-09-12,580000.0,361822.7962452088
0.3130662592900416,0.09801048270585956,0.3711660413624609,1,1,0,2025-09-26,521000.0,357892.4789098883
0.06963429496264603,0.0048489350349447905,0.07214622056425164,1,1,1,2025-10-10,544000.0,506118.94354032056
0.08234678285071304,0.006780992645862486,0.07909036432248914,1,1,1,2025-10-24,547000.0,592043.69021934
0.009884896374101051,9.771117632671611e-05,0.009933994627839587,1,1,1,2025-11-07,677000.0,670307.9251547336
0.23023139727303527,0.05300649629029419,0.2601824859117526,1,1,1,2025-11-21,756000.0,581945.0636615853
0.29906568801166244,0.08944028574588901,0.35164872141601317,1,1,1,2025-12-05,909000.0,637149.2895973988
0.29223874538698347,0.08540348430535816,0.34224777567424736,1,1,0,2025-12-19,880000.0,622829.9040594546
0.2641044648941772,0.06975116837703968,0.304286127307859,1,1,0,2026-01-02,1061000.0,780785.162747278
0.021756545085317436,0.00047334725404945025,0.021995821627784178,1,1,1,2026-01-16,910000.0,890201.5439723611
0.10125916511582815,0.010253418519954548,0.09637951072089332,1,1,1,2026-01-30,933000.0,1027474.8010530677
0.003179561795733693,1.0109613212889266e-05,0.003184624651171001,1,1,1,2026-02-13,1027000.0,1023734.5900357815
0.012668402389303512,0.00016048841909731092,0.01258866326342128,1,1,1,2026-02-27,1222000.0,1237480.787719729
0.3639222836952454,0.13243942856996266,0.4448716342365451,1,1,0,2026-03-13,1686000.0,1072427.0296898163
0.4536465089199606,0.2057951550552679,0.5867306686818607,1,1,0,2026-03-27,1941000.0,1060472.1261863564
0.4243170873960892,0.1800449906563004,0.5385818225252943,1,1,0,2026-04-10,2070000.0,1191663.6290900954
0.49762521615586813,0.24763085575417448,0.6624515021246467,1,0,0,2026-04-24,2764000.0,1388563.9025451804
0.17635939316001614,0.03110263555576915,0.19341463718074672,1,1,0,2026-05-08,2425000.0,1997328.4715869608
0.20031370102062498,0.04012557881658033,0.18207740189747365,0,1,0,2026-05-22,1842000.0,2210977.8372799912
